Season,TeamID,TeamName,AdjO,AdjD,Tempo,Rating,Seed,SOS
2013,332,Wisconsin,108.829,85.8206,59.9822,23.008,5,37.133
2013,333,Wichita St.,109.966,92.5764,62.4159,17.3895,9,22.177
2013,334,Western Kentucky,101.798,102.763,63.8433,-0.9659,16,14.863
2013,335,Villanova,106.057,92.4411,65.6855,13.6158,9,32.168
2013,336,VCU,113.747,94.4178,65.764,19.3295,5,22.954
2013,337,Valparaiso,111.066,99.147,63.7461,11.9193,14,13.999
2013,338,UNLV,106.858,89.633,67.0633,17.2254,5,24.074
2013,339,UCLA,111.467,96.3046,67.4331,15.1624,6,26.831
2013,340,Temple,111.464,99.5026,65.1334,11.9609,9,24.902
2013,341,Syracuse,114.546,91.9806,62.6287,22.5652,4,31.803
2013,342,Southern,99.0012,99.294,62.7873,-0.29274,16,8.266
2013,343,South Dakota St.,112.586,105.42,61.9938,7.16609,13,13.855
2013,344,San Diego St.,107.707,89.1276,64.8362,18.5799,7,25.928
2013,345,Saint Mary's,116.686,97.7603,62.7285,18.9259,11,19.997
2013,346,Saint Louis,108.951,88.6822,63.0796,20.269,4,21.79
2013,347,Pittsburgh,116.301,91.1994,58.1464,25.1014,8,27.112
2013,348,Pacific,106.871,101.331,61.5719,5.53976,15,15.835
2013,349,Oregon,105.529,90.6673,67.0931,14.8613,12,23.326
2013,350,Oklahoma St.,109.664,90.2456,65.3529,19.4182,5,26.462
2013,351,Oklahoma,111.409,97.0916,64.6503,14.3172,10,27.937
2013,352,Ohio St.,114.487,89.3191,62.2577,25.1682,2,34.432
2013,353,Notre Dame,115.515,98.0769,59.569,17.4382,7,29.503
2013,354,Northwestern St.,106.886,103.699,71.4118,3.18756,14,12.973
2013,355,North Carolina St.,116.772,99.3673,66.1873,17.4046,8,27.234
2013,356,North Carolina A&T,92.5828,97.9108,64.8071,-5.32804,16,9.659
2013,357,North Carolina,112.478,95.3146,68.7962,17.1634,8,29.188
2013,358,New Mexico St.,105.566,96.7219,63.1987,8.84441,13,14.948
2013,359,New Mexico,110.537,89.8302,63.1277,20.7068,3,25.971
2013,360,Montana,105.569,102.857,61.796,2.71159,13,11.573
2013,361,Missouri,115.006,95.7839,65.5079,19.2225,9,26.096
2013,362,Mississippi,112.338,95.8159,68.7636,16.5223,12,21.197
2013,363,Minnesota,113.792,94.6477,61.1328,19.1442,11,34.85
2013,365,Michigan St.,112.662,89.423,62.5852,23.2393,3,37.025
2013,366,Michigan,120.868,95.8775,62.8699,24.9907,4,32.68
2013,367,Miami FL,113.044,90.7587,61.2753,22.2852,2,27.681
2013,368,Memphis,108.62,91.9204,67.7883,16.6993,6,18.445
